,Score 2019,Score 2018,Score 2017,Score 2016,Score 2015,Popul 2015,Popul 2016,Popul 2017,Popul 2018,Dens 2015,Dens 2016,Dens 2017,Dens 2018,Life expect. 2019,Sex-ratio 2019,Urbanization rate 2019,Country,Continent,Currency,Languages,Flag,GDPcapita % 2016,NotEmploy 2016
Africa,4.455358974358975,4.2735128205128206,4.135897434674776,4.1361794871794855,4.160897435897437,23715471.974358976,24328357.410256412,24956386.948717948,25596822.17948718,95.37282261756414,97.52422105535895,99.74877518161539,102.02209353841023,63.638461538461556,0.9812820512820511,44.21282051282052,Africa,Africa,,,Continent,,
Asia,5.305968750000001,5.328375000000001,5.34249996393919,5.31534375,5.293187499999999,127604114.96875,128879806.09375,130144272.78125,131348360.484375,486.14508682721873,494.0955755990938,499.4109505465625,505.7345864652501,73.978125,1.0696875000000001,58.80937500000001,Asia,Asia,,,Continent,,
Europe,6.3311142857142855,6.240571428571429,6.161428587777275,6.1174285714285705,6.092914285714286,16525162.4,16560392.885714285,16584302.371428572,16605620.257142857,152.58953449368573,153.85731269594285,155.30391473311428,157.09410406185714,79.46857142857142,0.9557142857142856,73.30000000000001,Europe,Europe,,,Continent,,
North America,6.151583333333334,6.097666666666666,6.022583345572152,6.085166666666667,6.143833333333333,45675796.833333336,46101929.166666664,46505722.25,46884857.75,141.79529399458332,143.29892169024998,144.79064338450002,146.2679541540833,75.26666666666667,0.9758333333333334,69.39166666666667,North America,North America,,,Continent,,
Oceania,7.2675,7.298,7.299000024795535,7.323499999999999,7.285,14205847.5,14442053.5,14697880.0,14911844.0,10.276842217999999,10.4843966705,10.702329089500001,10.81652214,82.69999999999999,0.995,86.45,Oceania,Oceania,,,Continent,,
South America,6.055000000000001,6.11011111111111,6.192888895670573,6.268000000000001,6.306222222222221,42305221.55555555,42753872.222222224,43219596.333333336,43685978.333333336,26.96317926666667,27.31889333333333,27.697719875555556,28.081688327777773,76.18888888888888,0.9744444444444444,79.84444444444445,South America,South America,,,Continent,,
0,6.825,6.774,6.6479997634887695,6.5729999999999995,6.901,9262900.0,9360980.0,9487203.0,9630959.0,130.4266404,131.8076598,133.5849479,135.6091101,77.8,2.56,87.0,United Arab Emirates,Asia,AED,ar,Others,1.909376768,1.636000037
1,3.2030000000000003,3.6319999999999997,3.7939999103546103,3.36,3.575,34413603.0,35383128.0,36296400.0,37172386.0,52.71207149999999,54.19711424,55.59599302,56.93776001,64.5,1.03,26.0,Afghanistan,Asia,AFN,"ps,uz,tk",Outliers,-0.541697283,1.633999944
2,4.559,4.321000000000001,4.37599992752075,4.36,4.35,2925553.0,2936146.0,2944809.0,2951776.0,102.75915,103.1312259,103.43551109999999,103.6802248,74.9,0.95,63.3,Armenia,Asia,AMD,"hy,ru",Others,-0.16150062,17.61700058
3,6.086,6.388,6.59899997711182,6.65,6.574,43131966.0,43590368.0,44044811.0,44494502.0,15.76063274,15.92813508,16.09419079,16.2585101,76.5,0.98,92.1,Argentina,South America,ARS,"es,gn",Others,-3.110063898,8.015999794
4,7.246,7.138999999999999,7.00600004196167,7.119,7.2,8642699.0,8736668.0,8797566.0,8840521.0,104.73079270000001,105.86949340000001,106.6074453,107.1279669,81.4,0.96,58.7,Austria,Europe,EUR,de,Others,0.942067693,6.013999939
