,Score 2019,Score 2018,Score 2017,Score 2016,Score 2015,Popul 2015,Popul 2016,Popul 2017,Popul 2018,Dens 2015,Dens 2016,Dens 2017,Dens 2018,Life expect. 2019,Sex-ratio 2019,Urbanization rate 2019,Country,Continent,Currency,Languages,Flag,GDPcapita % 2016,NotEmploy 2016
5,7.228,7.272,7.28399991989136,7.313,7.284,23815995.0,24190907.0,24601860.0,24982688.0,3.100112596,3.1449355310000002,3.198361419,3.24787091,83.3,0.99,86.2,Australia,Oceania,AUD,en,Others,1.252830317,5.710999966
6,5.207999999999999,5.2010000000000005,5.234000205993651,5.291,5.212000000000001,9649341.0,9757812.0,9854033.0,9939771.0,116.73107949999999,118.033289,119.19720579999999,120.2343172,72.9,0.98,56.4,Azerbaijan,Asia,AZN,az,Others,-4.141769798,5
7,5.386,5.129,5.18200016021729,5.162999999999999,4.949,3429361.0,3386267.0,3351527.0,3323929.0,66.97970703,66.13802734,65.45951172,64.92048828,77.3,0.95,49.0,Bosnia and Herzegovina,Europe,BAM,"bs,hr,sr",Others,4.45830089,25.40999985
8,4.456,4.5,4.60799980163574,4.643,4.694,156256276.0,157970840.0,159670593.0,161356039.0,1200.4015980000001,1213.573327,1226.631274,1239.5793119999998,72.3,0.97,38.2,Bangladesh,Asia,BDT,bn,Others,5.950914578,4.349999905
9,6.922999999999999,6.9270000000000005,6.89099979400635,6.928999999999999,6.937,11274196.0,11331422.0,11375158.0,11427054.0,372.33143989999996,374.22133419999994,375.66571989999994,377.3795905,81.5,0.97,98.1,Belgium,Europe,EUR,"nl,fr,de",Others,0.940196074,7.829999924
10,4.587,4.4239999999999995,4.03200006484985,3.739,3.5869999999999997,18110624.0,18646378.0,19193284.0,19751535.0,66.19380117,68.15196637,70.15089181,72.19128289,61.2,0.96,30.6,Burkina Faso,Africa,XOF,"fr,ff",Others,2.890399929,6.363999844
11,5.011,4.933,4.71400022506714,4.217,4.218,7177991.0,7127822.0,7075947.0,7025037.0,66.120035,65.65790346,65.18005711,64.71109985,74.9,0.95,75.7,Bulgaria,Europe,BGN,bg,Others,4.668314467,7.574999809
12,6.199,6.105,6.08699989318848,6.218,5.96,1371851.0,1425791.0,1494074.0,1569439.0,1763.3045579999998,1832.636175,1920.4035239999998,2017.2737,77.2,1.53,89.5,Bahrain,Asia,BHD,ar,Others,-0.443550176,1.013000011
13,3.775,2.905,2.90499997138977,2.905,2.905,10160030.0,10487998.0,10827024.0,11175378.0,395.6397975,408.4111371,421.6130841,435.178271,61.2,0.99,13.7,Burundi,Africa,BIF,"fr,rn",Others,-3.708336062,1.565999985
14,4.883,4.141,3.65700006484985,3.484,3.34,10575952.0,10872067.0,11175204.0,11485048.0,93.79169918,96.41776339,99.10610145,101.8539198,61.5,0.97,48.4,Benin,Africa,XOF,fr,Others,1.133240634,2.41899991
15,5.779,5.752000000000001,5.82299995422363,5.822,5.89,10869730.0,11031813.0,11192854.0,11353142.0,10.03390566,10.18352534,10.33218314,10.48014585,71.2,0.98,70.1,Bolivia,South America,"BOB,BOV","es,ay,qu",Others,2.732039942,3.055999994
16,6.3,6.419,6.6350002288818395,6.952000000000001,6.983,204471769.0,206163058.0,207833831.0,209469333.0,24.46378847,24.66614079,24.866038500000002,25.06171624,75.7,0.97,87.1,Brazil,South America,BRL,pt,Others,-4.098702255,11.60900021
17,5.082,5.082,5.01100015640259,5.196000000000001,5.252999999999999,727876.0,736709.0,745568.0,754394.0,19.09583675,19.31388997,19.54614144,19.77752777,71.5,1.08,42.3,Bhutan,Asia,"BTN,INR",dz,Others,6.726936888,2.338999987
18,3.488,3.59,3.7660000324249303,3.9739999999999998,4.332,2120716.0,2159944.0,2205128.0,2254126.0,3.742021774,3.81123992,3.89096748,3.977424876,69.3,0.93,70.9,Botswana,Africa,BWP,"en,tn",Others,2.409451823,17.9489994
19,5.3229999999999995,5.483,5.5689997673034695,5.8020000000000005,5.813,9489616.0,9501534.0,9498264.0,9483499.0,46.75194176,46.8083514,46.79224208,46.71950379,74.6,0.87,79.5,Belarus,Europe,BYN,"be,ru",Others,-2.648709831,5.840000153
20,7.278,7.327999999999999,7.31599998474121,7.404,7.4270000000000005,35702908.0,36109487.0,36543321.0,37057765.0,3.926196595,3.970907493,4.018615584,4.075188239,82.3,0.98,81.6,Canada,North America,CAD,"en,fr",Others,-0.031327849,6.999000072
21,6.444,6.476,6.65199995040894,6.705,6.67,17969353.0,18209068.0,18470439.0,18729160.0,24.16755734,24.48995771,24.84148392,25.18944607,80.0,0.97,87.7,Chile,South America,"CLF,CLP",es,Others,0.332088719,6.737999916
22,5.044,4.975,4.69500017166138,4.513,4.252,23298368.0,23926539.0,24566045.0,25216237.0,49.28681009,50.61568192,51.9685325,53.34398891,58.9,0.99,57.6,Cameroon,Africa,XAF,"en,fr",Others,1.901024374,3.470999956
23,5.191,5.246,5.2729997634887695,5.245,5.14,1371220000.0,1378665000.0,1386395000.0,1392730000.0,146.05764219999998,146.85067759999998,147.6740508,148.34883330000002,76.7,1.06,61.4,China,Asia,CNY,zh,Others,6.160281025,4.5
24,6.125,6.26,6.35699987411499,6.481,6.477,47520667.0,48171392.0,48901066.0,49648685.0,42.83070482,43.41720775,44.07486796,44.74870212,77.1,0.98,81.4,Colombia,South America,COP,es,Others,0.708331384,8.692000389
25,7.167000000000001,7.072,7.0789999961853,7.087000000000001,7.226,4847804.0,4899345.0,4949954.0,4999441.0,94.94328241,95.9527027,96.94386996,97.91306306,80.1,1.0,80.8,Costa Rica,North America,CRC,es,Others,3.149324392,8.597999573
26,6.046,5.7620000000000005,5.62099981307983,5.546,5.689,1160985.0,1170187.0,1179680.0,1189265.0,125.6477273,126.64361470000001,127.67099569999999,128.7083333,80.8,1.05,66.8,Cyprus,Europe,EUR,"el,tr,hy",Others,4.332535438,12.94999981
27,6.852,6.711,6.60900020599365,6.596,6.505,10546059.0,10566332.0,10594438.0,10629928.0,136.58928899999998,136.8341362,137.1981093,137.6577053,79.2,0.97,74.1,Czech Republic,Europe,CZK,"cs,sk",Others,2.253976555,3.950999975
28,6.985,6.965,6.9510002136230495,6.994,6.75,81686611.0,82348669.0,82657002.0,82905782.0,234.15366859999997,235.71292940000004,236.5954946,237.30759669999998,81.2,0.96,77.5,Germany,Europe,EUR,de,Others,1.420238939,4.122000217
29,7.6,7.555,7.52199983596802,7.526,7.527,5683483.0,5728010.0,5764980.0,5793636.0,135.3532508,136.4136699,137.2941176,137.9765658,80.8,0.99,88.1,Denmark,Europe,DKK,da,Others,1.603662624,6.181000233
30,5.425,5.3020000000000005,5.230000019073491,5.155,4.885,10281680.0,10397743.0,10513131.0,10627165.0,212.8271579,215.22962119999997,217.61811219999998,219.9785759,73.9,1.02,82.5,Dominican Republic,North America,DOP,es,Others,5.422167969,7.28399992
31,5.211,5.295,5.872000217437741,6.355,5.605,39728025.0,40551404.0,41389198.0,42228429.0,16.68025267,17.02595749,17.37771461,17.73007507,76.7,1.03,73.7,Algeria,Africa,DZD,ar,Inliers,1.202537463,10.20199966
32,6.028,5.973,6.00799989700317,5.976,5.975,16212020.0,16491115.0,16785361.0,17084357.0,65.27629248,66.40004429,67.58480029,68.78868175,76.8,0.99,64.2,Ecuador,South America,USD,es,Others,-2.898024887,4.597000122
33,5.893,5.739,5.61100006103516,5.517,5.428999999999999,1315407.0,1315790.0,1317384.0,1321977.0,30.26011042,30.2689211,30.30559006,30.41124914,78.6,0.88,69.2,Estonia,Europe,EUR,et,Others,3.458973517,6.762000084
34,6.354,6.31,6.40299987792969,6.361000000000001,6.329,46444832.0,46484062.0,46593236.0,46797754.0,92.95268301,93.04926587,93.26780444,93.67719744,83.4,0.98,80.8,Spain,Europe,EUR,"es,eu,ca,gl,oc",Others,3.086610965,19.63500023
35,4.2860000000000005,4.35,4.46000003814697,4.508,4.512,100835458.0,103603501.0,106400024.0,109224559.0,100.835458,103.603501,106.400024,109.22455900000001,66.2,1.0,21.7,Ethiopia,Africa,ETB,am,Others,6.509676197,1.934999943
36,7.769,7.632000000000001,7.468999862670901,7.412999999999999,7.406000000000001,5479531.0,5495303.0,5508214.0,5515525.0,18.03011089,18.08200783,18.1244908,18.14854727,81.7,0.97,85.5,Finland,Europe,EUR,"fi,sv",Others,2.47696111,8.81799984
37,6.5920000000000005,6.489,6.44199991226196,6.478,6.575,66548272.0,66724104.0,66864379.0,66965912.0,121.5367038,121.85782479999999,122.1140081,122.2994372,82.5,0.96,81.0,France,Europe,EUR,fr,Others,0.692650644,10.05700016
38,4.7989999999999995,4.758,4.46500015258789,4.121,3.8960000000000004,1947686.0,2007873.0,2064823.0,2119275.0,7.558838825,7.792420537999999,8.013439671,8.224764233,66.2,1.08,90.1,Gabon,Africa,XAF,fr,Others,-0.968799964,19.62599945
39,7.053999999999999,7.19,6.71400022506714,6.725,6.867000000000001,65116219.0,65611593.0,66058859.0,66460344.0,269.1531393,271.2007316,273.049473,274.70898189999997,81.2,0.99,83.9,United Kingdom,Europe,GBP,en,Others,1.065018745,4.813000202
40,4.519,4.34,4.28599977493286,4.252,4.297,3725276.0,3727505.0,3728004.0,3726549.0,65.17505861,65.21405578,65.22278596,65.19733021,73.6,0.92,59.5,Georgia,Asia,GEL,ka,Others,2.785102354,13.97000027
41,4.996,4.657,4.11999988555908,4.276,4.633,27849205.0,28481946.0,29121471.0,29767108.0,122.3925683,125.17335849999999,127.98396329999998,130.8214292,63.8,0.97,57.3,Ghana,Africa,GHS,en,Others,1.149647335,6.767000198
42,4.534,3.964,3.50699996948242,3.6069999999999998,3.656,11432088.0,11738441.0,12067539.0,12414318.0,46.52485756,47.77161403,49.11093521,50.52221227,61.2,1.0,44.2,Guinea,Africa,GNF,"fr,ff",Others,7.93636674,3.667999983
43,4.534,3.964,3.50699996948242,3.6069999999999998,3.656,11432088.0,11738441.0,12067539.0,12414318.0,46.52485756,47.77161403,49.11093521,50.52221227,61.2,1.0,36.5,Guinea,Africa,GNF,"fr,ff",Others,7.93636674,3.667999983
44,4.534,3.964,3.50699996948242,3.6069999999999998,3.656,11432088.0,11738441.0,12067539.0,12414318.0,46.52485756,47.77161403,49.11093521,50.52221227,61.2,0.95,44.2,Guinea,Africa,GNF,"fr,ff",Others,7.93636674,3.667999983
45,4.534,3.964,3.50699996948242,3.6069999999999998,3.656,11432088.0,11738441.0,12067539.0,12414318.0,46.52485756,47.77161403,49.11093521,50.52221227,61.2,0.95,36.5,Guinea,Africa,GNF,"fr,ff",Others,7.93636674,3.667999983
46,4.534,3.964,3.50699996948242,3.6069999999999998,3.656,11432088.0,11738441.0,12067539.0,12414318.0,46.52485756,47.77161403,49.11093521,50.52221227,58.0,1.0,44.2,Guinea,Africa,GNF,"fr,ff",Others,7.93636674,3.667999983
47,4.534,3.964,3.50699996948242,3.6069999999999998,3.656,11432088.0,11738441.0,12067539.0,12414318.0,46.52485756,47.77161403,49.11093521,50.52221227,58.0,1.0,36.5,Guinea,Africa,GNF,"fr,ff",Others,7.93636674,3.667999983
48,4.534,3.964,3.50699996948242,3.6069999999999998,3.656,11432088.0,11738441.0,12067539.0,12414318.0,46.52485756,47.77161403,49.11093521,50.52221227,58.0,0.95,44.2,Guinea,Africa,GNF,"fr,ff",Others,7.93636674,3.667999983
49,4.534,3.964,3.50699996948242,3.6069999999999998,3.656,11432088.0,11738441.0,12067539.0,12414318.0,46.52485756,47.77161403,49.11093521,50.52221227,58.0,0.95,36.5,Guinea,Africa,GNF,"fr,ff",Others,7.93636674,3.667999983
50,5.287000000000001,5.358,5.2270002365112305,5.033,4.857,10820883.0,10775971.0,10754679.0,10732882.0,83.94788984,83.5994647,83.43428239,83.26518231,82.1,0.95,79.7,Greece,Europe,EUR,el,Inliers,0.225031021,23.53899956
51,6.436,6.382000000000001,6.4539999961853,6.324,6.122999999999999,15567419.0,15827690.0,16087418.0,16346950.0,145.27266699999998,147.7014744,150.1252146,152.5471258,74.1,0.99,51.8,Guatemala,North America,GTQ,es,Others,1.037037387,2.825999975
52,5.86,5.504,5.1810002326965305,4.871,4.788,9112916.0,9270795.0,9429013.0,9587522.0,81.44531236,82.85633211,84.27038162,85.68703191,75.1,0.95,58.4,Honduras,North America,HNL,es,Others,2.123704453,4.668000221
53,5.432,5.321000000000001,5.2930002212524405,5.4879999999999995,5.7589999999999995,4203604.0,4174349.0,4124531.0,4087843.0,75.11801287,74.59522873,73.70498570000001,73.04937455,78.3,0.93,57.6,Croatia,Europe,HRK,hr,Others,4.261739579,13.10299969
54,3.597,3.582,3.6029999256133998,4.0280000000000005,4.518,10695542.0,10839970.0,10982366.0,11123176.0,388.0820755,393.32256889999996,398.48933239999997,403.5985486,63.7,0.98,57.1,Haiti,North America,"HTG,USD","fr,ht",Outliers,0.100985988,13.64700031
55,5.757999999999999,5.62,5.32399988174438,5.145,4.8,9843028.0,9814023.0,9787966.0,9775564.0,108.7266983,108.40630729999998,108.1184801,107.9814868,76.7,0.91,71.9,Hungary,Europe,HUF,hu,Others,2.583085053,5.114999771
56,5.192,5.093,5.26200008392334,5.314,5.399,258383256.0,261554226.0,264645886.0,267663435.0,142.6294628,144.3798617,146.08648080000003,147.75219009999998,71.5,1.0,56.6,Indonesia,Asia,IDR,id,Others,3.759693805,4.301000118
57,7.021,6.977,6.9770002365112305,6.907,6.94,4701957.0,4755335.0,4807388.0,4867316.0,68.25311366,69.0279431,69.78353898,70.65344753,82.1,1.0,63.7,Ireland,Europe,EUR,"ga,en",Others,2.514046164,8.366000175
58,7.138999999999999,6.814,7.212999820709231,7.267,7.278,8380100.0,8546000.0,8713300.0,8882800.0,387.25046210000005,394.9168207,402.6478743,410.4805915,82.8,1.01,92.6,Israel,Asia,ILS,"he,ar",Outliers,1.988826152,4.797999859
59,4.015,4.19,4.31500005722046,4.404,4.565,1310152403.0,1324509589.0,1338658835.0,1352617328.0,440.65545860000003,445.4843414,450.2432858,454.9380726,69.4,1.08,34.9,India,Asia,INR,"hi,en",Others,6.997009504,2.730000019
60,4.437,4.456,4.49700021743774,4.575,4.677,35572261.0,36610632.0,37552781.0,38433600.0,81.93956704,84.33142147,86.5016316,88.53057004,70.5,1.01,70.9,Iraq,Asia,IQD,"ar,ku",Others,10.35102073,8.093000412
61,7.494,7.495,7.50400018692017,7.501,7.561,330815.0,335439.0,343400.0,352721.0,3.299900249,3.3460249380000002,3.4254364089999996,3.518413965,82.9,1.0,93.9,Iceland,Europe,ISK,is,Others,5.871643732,2.977999926
62,6.223,6.0,5.96400022506714,5.977,5.9479999999999995,60730582.0,60627498.0,60536709.0,60421760.0,206.4682872,206.1178282,205.8091691,205.4183722,83.6,0.93,71.0,Italy,Europe,EUR,it,Others,1.290831526,11.68799973
63,5.89,5.89,5.31099987030029,5.51,5.709,2891021.0,2906238.0,2920853.0,2934855.0,266.94561400000003,268.3506925,269.7001847,270.9930748,74.4,0.98,56.3,Jamaica,North America,JMD,en,Others,0.849831425,13.19200039
64,4.906000000000001,5.1610000000000005,5.33599996566772,5.303,5.192,9266575.0,9551467.0,9779173.0,9956011.0,104.3768304,107.58579640000002,110.1506308,112.1424983,74.4,1.11,91.4,Jordan,Asia,JOD,ar,Others,-1.038735927,15.27499962
65,5.886,5.915,5.92000007629395,5.921,5.987,127141000.0,126994511.0,126785797.0,126529100.0,348.7519201,348.350096,347.77758670000003,347.0734584,84.5,0.94,91.8,Japan,Asia,JPY,ja,Others,0.725146429,3.099999905
66,4.5089999999999995,4.41,4.55299997329712,4.356,4.419,47878336.0,49051686.0,50221473.0,51393010.0,84.12400464,86.18562392,88.24098289,90.29941666,63.3,1.0,28.0,Kenya,Africa,KES,"en,sw",Others,3.346252153,9.62899971
67,4.7,4.433,4.1680002212524405,3.907,3.819,15521436.0,15766293.0,16009414.0,16249798.0,87.93018355,89.31731815,90.69461817,92.05641287,69.6,0.95,24.2,Cambodia,Asia,KHR,km,Others,5.368731942,1.131000042
68,5.809,5.79,5.8189997673034695,5.919,5.855,17542806.0,17794055.0,18037776.0,18276498.5,6.4980575620000005,6.591123088,6.6814001560000005,6.769825721,73.2,0.91,57.7,Kazakhstan,Asia,KZT,"kk,ru",Others,-0.327514633,4.960000038
69,5.197,5.358,5.22499990463257,5.129,4.8389999999999995,6532678.0,6711121.0,6811873.0,6848925.0,638.5804497,656.0235582,665.8722385,669.4941349,78.9,1.0,88.9,Lebanon,Asia,LBP,"ar,fr",Others,-1.09607989,6.263000011
70,4.3660000000000005,4.471,4.44000005722046,4.415,4.271,20970000.0,21203000.0,21444000.0,21670000.0,334.39642799999996,338.11194389999997,341.95503110000004,345.558922,76.8,0.95,18.7,Sri Lanka,Asia,LKR,"si,ta",Others,3.338429756,4.369999886
71,3.975,3.495,3.5329999923706095,3.622,4.571000000000001,4472230.0,4586788.0,4702228.0,4818977.0,46.4309593,47.62030731,48.81881229,50.03090739,63.7,1.0,52.1,Liberia,Africa,LRD,en,Others,-4.057198172,2.150000095
72,6.149,5.952000000000001,5.90199995040894,5.813,5.832999999999999,2904910.0,2868231.0,2828403.0,2801543.0,46.36727853,45.78766499,45.15186156,44.72307577,75.7,0.86,68.0,Lithuania,Europe,EUR,lt,Inliers,3.662076001,7.861999989
73,7.09,6.91,6.86299991607666,6.871,6.946000000000001,569604.0,582014.0,596336.0,607950.0,234.4049383,239.51193419999998,245.4057613,250.1851852,82.1,1.02,91.5,Luxembourg,Europe,EUR,"fr,de,lb",Others,0.227761912,6.290999889
74,5.94,5.933,5.849999904632571,5.56,5.098,1977527.0,1959537.0,1942248.0,1927174.0,31.80326472,31.51394339,31.23589579,30.99347057,75.2,0.86,68.3,Latvia,Europe,EUR,lv,Others,3.001407859,9.642999649
75,5.525,5.566,5.525000095367429,5.615,5.754,6418315.0,6492164.0,6580724.0,6678567.0,3.6477232689999997,3.6896938969999997,3.740025234,3.7956323810000003,72.7,1.05,80.7,Libya,Africa,LYD,ar,Others,-3.901179931,16.23900032
76,5.207999999999999,5.254,5.2350001335144,5.151,5.013,34663603.0,35126296.0,35581294.0,36029138.0,77.66883935,78.70557024,79.72505938,80.72851893,76.5,1.0,63.5,Morocco,Africa,MAD,ar,Others,-0.221495789,9.300000191
77,5.529,5.64,5.837999820709231,5.897,5.888999999999999,2834530.0,2802170.0,2755158.0,2706049.0,98.74002856,97.61277737,95.97512802,94.26443028,71.8,0.96,42.8,Moldova,Europe,MDL,ro,Others,4.472203087,4.184999943
78,5.523,5.347,5.23699998855591,5.1610000000000005,5.192,622159.0,622303.0,622373.0,622227.0,46.25717472,46.26788104,46.2730855,46.26223048,76.8,0.97,67.5,Montenegro,Europe,EUR,"sr,bs,sq,hr",Others,2.925516359,17.72299957
79,3.9330000000000003,3.7739999999999996,3.64400005340576,3.695,3.681,24234088.0,24894380.0,25570540.0,26262368.0,41.65364043,42.78855277,43.95073909,45.13985562,66.7,1.0,38.5,Madagascar,Africa,MGA,"fr,mg",Others,1.416747523,1.754999995
80,4.39,4.447,4.19000005722046,4.073,3.995,17438778.0,17965429.0,18512394.0,19077690.0,14.29185455,14.72346848,15.17173063,15.63501586,58.9,0.95,43.9,Mali,Africa,XOF,fr,Others,2.698505686,9.729999542
81,5.285,5.125,4.95499992370605,4.907,4.874,2998439.0,3056359.0,3113779.0,3170208.0,1.930043899,1.967326013,2.004286284,2.040608667,69.7,0.95,68.7,Mongolia,Asia,MNT,mn,Others,-0.748813701,7.235000134
82,4.49,4.356,4.29199981689453,4.2010000000000005,4.436,4046301.0,4163534.0,4282574.0,4403319.0,3.9257795669999997,4.039520714,4.155015038,4.272163578,64.7,0.93,55.3,Mauritania,Africa,MRU,ar,Others,-0.872023142,10.37800026
83,6.726,6.627000000000001,6.52699995040894,6.4879999999999995,6.3020000000000005,445053.0,455356.0,467999.0,484630.0,1390.790625,1422.9875,1462.496875,1514.46875,82.4,1.01,94.7,Malta,Europe,EUR,"mt,en",Others,3.312930438,4.702000141
84,5.888,5.891,5.62900018692017,5.648,5.477,1262605.0,1263473.0,1264613.0,1265303.0,621.9729063999999,622.4004926,622.962069,623.3019704,74.9,0.96,40.8,Mauritius,Africa,MUR,en,Others,3.766596483,6.813000202
85,3.41,3.5869999999999997,3.97000002861023,4.156000000000001,4.292,16745303.0,17205289.0,17670260.0,18143315.0,177.6124629,182.491398,187.4232075,192.4407616,63.8,0.98,17.4,Malawi,Africa,MWK,"en,ny",Others,-0.255885678,5.711999893
86,6.595,6.4879999999999995,6.57800006866455,6.778,7.187,121858258.0,123333376.0,124777324.0,126190788.0,62.68590139,63.44472646,64.18751717,64.91462641,75.0,0.96,80.7,Mexico,North America,MXN,es,Others,1.690630236,3.858999968
87,5.3389999999999995,6.322,6.08400011062622,6.005,5.77,30270962.0,30684804.0,31105028.0,31528585.0,92.13502359,93.39462487,94.67365089,95.96282149,76.1,1.03,77.2,Malaysia,Asia,MYR,ms,Others,2.817762483,3.440000057
88,4.628,4.166,4.02799987792969,3.8560000000000003,3.845,20001663.0,20788838.0,21602472.0,22442948.0,15.79037104,16.41180864,17.05413436,17.71765059,62.0,0.98,16.6,Niger,Africa,XOF,fr,Others,0.952882045,0.31099999
89,5.265,5.155,5.07399988174438,4.875,5.268,181137448.0,185960289.0,190873311.0,195874740.0,198.8838543,204.17919890000002,209.57355969999998,215.06498900000003,54.3,1.02,52.0,Nigeria,Africa,NGN,en,Others,-4.16841477,6.236999989
90,6.105,6.141,6.07100009918213,5.992000000000001,5.827999999999999,6223240.0,6303974.0,6384855.0,6465513.0,51.71381087,52.38469337,53.05679741,53.72704836,74.3,0.95,59.0,Nicaragua,North America,NIO,es,Others,3.224023651,4.340000153
91,7.4879999999999995,7.441,7.3769998550415,7.3389999999999995,7.377999999999999,16939923.0,17030314.0,17131296.0,17231624.0,502.8175423,505.50056399999994,508.4979518999999,511.47592760000003,82.1,0.98,92.2,Netherlands,Europe,EUR,nl,Others,1.649315552,6.006000042
92,7.553999999999999,7.593999999999999,7.537000179290769,7.497999999999999,7.522,5188607.0,5234519.0,5276968.0,5311916.0,14.21057257,14.3363165,14.45257595,14.54829163,82.5,1.02,83.0,Norway,Europe,NOK,"no,nb,nn",Others,0.299839821,4.678999901
93,4.913,4.88,4.961999893188481,4.793,4.513999999999999,27015031.0,27261131.0,27627124.0,28087871.0,188.4550471,190.17182419999997,192.7249669,195.9391071,70.5,0.96,20.6,Nepal,Asia,NPR,ne,Others,-0.319386313,1.425999999
94,7.307,7.324,7.31400012969971,7.334,7.2860000000000005,4595700.0,4693200.0,4793900.0,4841000.0,17.45357184,17.82385781,18.20629676,18.38517337,82.1,1.0,86.7,New Zealand,Oceania,NZD,"en,mi",Inliers,1.49258464,5.099999905
95,6.321000000000001,6.43,6.4520001411438,6.7010000000000005,6.7860000000000005,3968487.0,4037078.0,4106771.0,4176873.0,53.38292978,54.30559591,55.24308582,56.18607748,78.3,1.01,68.4,Panama,North America,"PAB,USD",es,Others,3.183013796,3.315000057
96,5.697,5.662999999999999,5.71500015258789,5.742999999999999,5.824,30470734.0,30926032.0,31444297.0,31989256.0,23.80526094,24.1609625,24.56585703,24.99160625,76.5,0.96,78.3,Peru,South America,PEN,es,Others,2.42542665,3.535000086
97,5.631,5.524,5.42999982833862,5.279,5.073,102113212.0,103663927.0,105173264.0,106651922.0,342.46641850000003,347.6671932,352.7291948,357.6883053,71.1,1.01,47.4,Philippines,Asia,PHP,en,Others,5.285169945,2.707999945
98,5.653,5.472,5.26900005340576,5.132000000000001,5.194,199426964.0,203627284.0,207896686.0,212215030.0,258.7003995,264.1491335,269.6874818,275.28931869999997,67.1,1.04,37.2,Pakistan,Asia,PKR,"en,ur",Others,3.349984034,3.440000057
99,6.182,6.122999999999999,5.97300004959106,5.835,5.791,37986412.0,37970087.0,37974826.0,37974750.0,124.0615696,124.008253,124.0237304,124.02348219999999,78.5,0.94,60.0,Poland,Europe,PLN,pl,Others,3.106909657,6.160999775
100,5.693,5.41,5.19500017166138,5.122999999999999,5.102,10358076.0,10325452.0,10300300.0,10283822.0,113.0725249,112.71638940000001,112.44182109999998,112.2619412,81.9,0.9,66.3,Portugal,Europe,EUR,pt,Others,2.24777791,11.06599998
101,5.742999999999999,5.681,5.493000030517581,5.537999999999999,5.877999999999999,6688746.0,6777872.0,6867062.0,6956071.0,16.83550466,17.05983388,17.28432419,17.50835892,74.1,1.0,62.2,Paraguay,South America,PYG,"es,gn",Others,2.941236699,5.255000114
