Rank,Country Name,Score 2019,Score 2018,Score 2017,Score 2016,Score 2015
154,Afghanistan,3.203,3.632,3.79399991,3.36,3.575
107,Albania,4.719,4.586,4.644000053,4.655,4.959
88,Algeria,5.211,5.295,5.872000217,6.355,5.605
47,Argentina,6.086,6.388,6.598999977,6.65,6.574
116,Armenia,4.559,4.321,4.375999928,4.36,4.35
11,Australia,7.228,7.272,7.28399992,7.313,7.284
10,Austria,7.246,7.139,7.006000042,7.119,7.2
90,Azerbaijan,5.208,5.201,5.234000206,5.291,5.212
37,Bahrain,6.199,6.105,6.086999893,6.218,5.96
125,Bangladesh,4.456,4.5,4.607999802,4.643,4.694
81,Belarus,5.323,5.483,5.568999767,5.802,5.813
18,Belgium,6.923,6.927,6.890999794,6.929,6.937
102,Benin,4.883,4.141,3.657000065,3.484,3.34
95,Bhutan,5.082,5.956,5.955999851,5.956,5.253
61,Bolivia,5.779,5.752,5.822999954,5.822,5.89
78,Bosnia and Herzegovina,5.386,5.082,5.011000156,5.196,4.949
148,Botswana,3.488,3.59,3.766000032,3.974,4.332
32,Brazil,6.3,6.419,6.635000229,6.952,6.983
97,Bulgaria,5.011,5.129,5.18200016,5.163,4.218
115,Burkina Faso,4.587,4.933,4.714000225,4.217,3.587
145,Burundi,3.775,2.905,2.904999971,2.905,2.905
109,Cambodia,4.7,4.424,4.032000065,3.739,3.819
96,Cameroon,5.044,4.975,4.695000172,4.513,4.252
9,Canada,7.278,7.328,7.315999985,7.404,7.427
155,Central African Republic,3.083,3.083,2.693000078,3.763,3.678
132,Chad,4.35,4.301,3.936000109,6.705,3.667
26,Chile,6.444,6.476,6.65199995,5.245,6.67
93,China,5.191,5.246,5.272999763,6.481,5.14
43,Colombia,6.125,6.26,6.356999874,3.956,6.477
142,Comoros,3.973,3.973,3.956,3.956,3.956
103,Congo (Brazzaville),4.812,4.559,4.290999889,4.236,3.989
127,Congo (Kinshasa),4.418,4.245,4.28000021,4.272,4.517
12,Costa Rica,7.167,7.072,7.078999996,7.087,7.226
75,Croatia,5.432,5.321,5.293000221,5.488,5.759
49,Cyprus,6.046,5.762,5.620999813,5.546,5.689
20,Czech Republic,6.852,6.711,6.609000206,6.596,6.505
2,Denmark,7.6,7.555,7.521999836,7.526,7.527
77,Dominican Republic,5.425,5.302,5.230000019,5.155,4.885
50,Ecuador,6.028,5.973,6.007999897,5.976,5.975
137,Egypt,4.166,4.419,4.735000134,4.362,4.194
35,El Salvador,6.253,6.167,6.002999783,6.068,6.13
55,Estonia,5.893,5.739,5.611000061,5.517,5.429
134,Ethiopia,4.286,4.35,4.460000038,4.508,4.512
1,Finland,7.769,7.632,7.468999863,7.413,7.406
24,France,6.592,6.489,6.441999912,6.478,6.575
104,Gabon,4.799,4.758,4.465000153,4.121,3.896
120,Gambia,4.516,4.516,4.516,4.516,4.516
119,Georgia,4.519,4.34,4.285999775,4.252,4.297
17,Germany,6.985,6.965,6.951000214,6.994,6.75
98,Ghana,4.996,4.657,4.119999886,4.276,4.633
82,Greece,5.287,5.358,5.227000237,5.033,4.857
27,Guatemala,6.436,6.382,6.453999996,6.324,6.123
118,Guinea,4.534,3.964,3.506999969,3.607,3.656
147,Haiti,3.597,3.582,3.602999926,4.028,4.518
59,Honduras,5.86,5.504,5.181000233,4.871,4.788
76,Hong Kong,5.43,5.43,5.472000122,5.458,5.474
62,Hungary,5.758,5.62,5.323999882,5.145,4.8
4,Iceland,7.494,7.495,7.504000187,7.501,7.561
140,India,4.015,4.19,4.315000057,4.404,4.565
92,Indonesia,5.192,5.093,5.262000084,5.314,5.399
117,Iran,4.548,4.707,4.691999912,4.813,4.686
126,Iraq,4.437,4.456,4.497000217,4.575,4.677
16,Ireland,7.021,6.977,6.977000237,6.907,6.94
13,Israel,7.139,6.814,7.212999821,7.267,7.278
36,Italy,6.223,6,5.964000225,5.977,5.948
99,Ivory Coast,4.944,4.671,4.179999828,3.916,3.655
56,Jamaica,5.89,5.89,5.31099987,5.51,5.709
58,Japan,5.886,5.915,5.920000076,5.921,5.987
101,Jordan,4.906,5.161,5.335999966,5.303,5.192
60,Kazakhstan,5.809,5.79,5.818999767,5.919,5.855
121,Kenya,4.509,4.41,4.552999973,4.356,4.419
46,Kosovo,6.1,5.662,5.278999805,5.401,5.589
51,Kuwait,6.021,6.083,6.105000019,6.239,6.295
86,Kyrgyzstan,5.261,5.131,5.004000187,5.185,5.286
105,Laos,4.796,4.623,5.94,4.876,4.876
53,Latvia,5.94,5.933,5.849999905,5.56,5.098
91,Lebanon,5.197,5.358,5.224999905,5.129,4.839
144,Lesotho,3.802,3.808,3.808000088,3.802,4.898
141,Liberia,3.975,3.495,3.532999992,3.622,4.571
72,Libya,5.525,5.566,5.525000095,5.615,5.754
42,Lithuania,6.149,5.952,5.90199995,5.813,5.833
14,Luxembourg,7.09,6.91,6.862999916,6.871,6.946
143,Madagascar,3.933,3.774,3.644000053,3.695,3.681
150,Malawi,3.41,3.587,3.970000029,4.156,4.292
80,Malaysia,5.339,6.322,6.084000111,6.005,5.77
128,Mali,4.39,4.447,4.190000057,4.073,3.995
22,Malta,6.726,6.627,6.52699995,6.488,6.302
122,Mauritania,4.49,4.356,4.291999817,4.201,4.436
57,Mauritius,5.888,5.891,5.629000187,5.648,5.477
23,Mexico,6.595,6.488,6.578000069,6.778,7.187
71,Moldova,5.529,5.64,5.837999821,5.897,5.889
83,Mongolia,5.285,5.125,4.954999924,4.907,4.874
73,Montenegro,5.523,5.347,5.236999989,5.161,5.192
