Rank,Country Name,Score 2019,Score 2018,Score 2017,Score 2016,Score 2015
89,Morocco,5.208,5.254,5.235000134,5.151,5.013
123,Mozambique,4.466,4.417,4.550000191,4.466,4.971
131,Myanmar,4.36,4.308,4.545000076,4.395,4.36
113,Namibia,4.639,4.441,4.573999882,4.574,4.639
100,Nepal,4.913,4.88,4.961999893,4.793,4.514
5,Netherlands,7.488,7.441,7.376999855,7.339,7.378
8,New Zealand,7.307,7.324,7.31400013,7.334,7.286
45,Nicaragua,6.105,6.141,6.071000099,5.992,5.828
114,Niger,4.628,4.166,4.027999878,3.856,3.845
85,Nigeria,5.265,5.155,5.073999882,4.875,5.268
84,North Macedonia,5.274,5.185,5.175000191,5.121,5.007
64,Northern Cyprus,5.718,5.835,5.809999943,5.771,5.695
3,Norway,7.554,7.594,7.537000179,7.498,7.522
67,Pakistan,5.653,5.472,5.269000053,5.132,5.194
110,Palestinian Territories,4.696,4.743,4.775000095,4.754,4.715
31,Panama,6.321,6.43,6.452000141,6.701,6.786
63,Paraguay,5.743,5.681,5.493000031,5.538,5.878
65,Peru,5.697,5.663,5.715000153,5.743,5.824
69,Philippines,5.631,5.524,5.429999828,5.279,5.073
40,Poland,6.182,6.123,5.97300005,5.835,5.791
66,Portugal,5.693,5.41,5.195000172,5.123,5.102
29,Qatar,6.374,6.374,6.375,6.375,6.611
48,Romania,6.07,5.945,5.824999809,5.528,5.124
68,Russia,5.648,5.81,5.962999821,5.856,5.716
152,Rwanda,3.334,3.408,3.470999956,3.515,3.465
28,Saudi Arabia,6.375,6.371,6.343999863,6.379,6.411
111,Senegal,4.681,4.631,4.534999847,4.219,3.904
70,Serbia,5.603,5.398,5.394999981,5.177,5.123
129,Sierra Leone,4.374,4.571,4.709000111,4.635,4.507
34,Singapore,6.262,6.343,6.572000027,6.739,6.798
38,Slovakia,6.198,6.173,6.09800005,6.078,5.995
44,Slovenia,6.118,5.948,5.757999897,5.768,5.848
112,Somalia,4.668,4.982,5.151000023,5.44,5.057
106,South Africa,4.722,4.724,4.828999996,4.459,4.642
54,South Korea,5.895,5.875,5.837999821,5.835,4.722
156,South Sudan,2.853,3.254,3.59100008,3.832,5.895
30,Spain,6.354,6.31,6.402999878,6.361,6.329
130,Sri Lanka,4.366,4.471,4.440000057,4.415,4.271
135,Swaziland,4.212,4.139,4.138999939,6.269,4.867
7,Sweden,7.343,7.314,7.28399992,7.291,7.364
6,Switzerland,7.48,7.487,7.493999958,7.509,7.587
149,Syria,3.462,3.462,3.461999893,3.069,3.006
25,Taiwan,6.446,6.441,6.421999931,6.379,6.298
74,Tajikistan,5.467,5.199,5.040999889,4.996,4.786
153,Tanzania,3.231,3.303,3.348999977,3.666,3.781
52,Thailand,6.008,6.072,6.423999786,6.474,6.455
139,Togo,4.085,3.999,3.494999886,3.303,2.839
39,Trinidad and Tobago,6.192,6.192,6.168000221,6.168,6.168
124,Tunisia,4.461,4.592,4.804999828,5.045,4.739
79,Turkey,5.373,5.483,5.5,5.389,5.332
87,Turkmenistan,5.247,5.636,5.822000027,5.658,5.548
136,Uganda,4.189,4.161,4.080999851,3.739,3.931
133,Ukraine,4.332,4.103,4.096000195,4.324,4.681
21,United Arab Emirates,6.825,6.774,6.647999763,6.573,6.901
15,United Kingdom,7.054,7.19,6.714000225,6.725,6.867
19,United States,6.892,6.886,6.993000031,7.104,7.119
33,Uruguay,6.293,6.379,6.453999996,6.545,6.485
41,Uzbekistan,6.174,6.096,5.971000195,5.987,6.003
108,Venezuela,4.707,4.806,5.25,6.084,6.81
94,Vietnam,5.175,5.103,5.073999882,5.061,5.36
151,Yemen,3.38,3.355,3.592999935,3.724,4.077
138,Zambia,4.107,4.377,4.513999939,4.795,5.129
146,Zimbabwe,3.663,3.692,3.875,4.193,4.61
