Interval,Frequence,Type
-3.185:-3.055,1,outlier
-3.055:-2.925,0,outlier
-2.925:-2.795,0,outlier
-2.795:-2.665,0,outlier
-2.665:-2.535,0,outlier
-2.535:-2.405,0,outlier
-2.405:-2.275,0,outlier
-2.275:-2.145,0,outlier
-2.145:-2.015,0,outlier
-2.015:-1.885,0,outlier
-1.885:-1.755,0,normal
-1.755:-1.625,0,normal
-1.625:-1.495,2,normal
-1.495:-1.365,4,normal
-1.365:-1.235,8,normal
-1.235:-1.105,3,normal
-1.105:-0.975,3,normal
-0.975:-0.845,4,normal
-0.845:-0.715,4,normal
-0.715:-0.585,7,normal
-0.585:-0.455,6,normal
-0.455:-0.325,11,normal
-0.325:-0.195,8,normal
-0.195:-0.065,13,normal
-0.065:0.065,6,inlier
0.065:0.195,14,normal
0.195:0.325,7,normal
0.325:0.455,4,normal
0.455:0.585,8,normal
0.585:0.715,3,normal
0.715:0.845,3,normal
0.845:0.975,2,normal
0.975:1.105,3,normal
1.105:1.235,2,normal
1.235:1.365,2,normal
1.365:1.495,2,normal
1.495:1.625,1,normal
1.625:1.755,2,normal
1.755:1.885,0,normal
1.885:2.015,0,outlier
2.015:2.145,2,outlier
2.145:2.275,0,outlier
2.275:2.405,1,outlier
2.405:2.535,1,outlier
2.535:2.665,0,outlier
2.665:2.795,2,outlier
2.795:2.925,1,outlier
2.925:3.055,0,outlier
3.055:3.185,1,outlier
